# number | source | action sequence | controller / opponent feelings and attributes | gameplay hooks | mismatch or distinction
21|Odyssey 5|Select trees; cut and join timbers; launch a raft.|Earned autonomy / resumed pursuit|Gain a land; recover a Vehicle.|Craft restores the means to travel; keep separate from an immediate blink rescue.
22|Odyssey 12; funeral composite|Tend the burning; spend time and fuel; preserve remains.|Duty / attrition|Deaths offer paid self-mill; mana limits the engine.|This is a living attendant; avoid implying every death is literal necromancy.
24|Odyssey 15 and 20; interpretation|Observe the sign; weigh readings; commit to one path.|Inference / uncertainty|Selection; leave one option in exile.|Exiling a card with no permission to play it is a real cost, not free future access.
27|Odyssey 11|Dig the trench; pour blood; admit a particular shade.|Dread and attention / exposure|Self-mill then recovery; a rite makes an exhausted foe vulnerable.|The shades speak; broad resurrection would be a different portrayal.
28|Odyssey 19|Question the beggar; test details; compare the answer with memory.|Guarded intelligence / fear of exposure|Draw and discard; a named person deepens the inquiry.|Distinct from the bed test's final certainty.
29|Odyssey 22|Find the open storeroom; bring arms to the suitors; expose the betrayal.|Opportunism / alarm|Remove equipment or its bearer; extract a resource.|Destruction plus Treasure is abstraction; the literal event arms enemies rather than destroying them.
30|Odyssey 22|Catch Antinous drinking; loose the first arrow; overturn the feast.|Decisive violence / shock|Destroy an unprepared creature.|Preserve the accepted Asphyxiate reprint; the title need not claim a precise wound location.
33|Odyssey 5; voyage composite|Set out repeatedly; withstand weather; gain supplies and options.|Persistence / relentless approach|Count Vehicle attacks; convert completed work into resources.|Quest counters already provide the vocabulary.
34|Odyssey 10|Receive the visitors; seize one; devour him.|Predation / panic|Offer an awful choice; a larger threat or immediate damage.|Opponent choice is game interpretation, not a negotiation in the poem.
36|Odyssey 19|Wash the foot; feel the scar; recognise and suppress the cry.|Sudden certainty / secret at risk|Scry at first inspection; draw for a creature turning face up or a hero returning.|Face-up recognition is essential; turning face up does not count as entering the battlefield.
39|Odyssey 20|See blood on the walls; announce doom; leave the mocking feast.|Clairvoyant dread / denial|A death prophecy as an edict; gain insight when a powerful victim falls.|The vision precedes the slaughter. Do not depict it as ordinary cleaning afterward.
40|Odyssey 5|Grip the tool; shape timber; improve the vessel.|Competence / efficient opposition|Equip a worker; crewing transfers some benefit to the ship.|Worker and ship should both matter, without an unlimited untap loop.
42|Odyssey 9–12; voyage composite|Work the vessel; reach new ground; secure further passage.|Discovery / encroachment|Land arrival plus tapped labour; complete a ramp quest.|Keep the two-part condition legible and achievable at common.
43|Odyssey 8; oral-performance interpretation|Repeat a phrase; recall a story; turn memory into a new telling.|Recognition / accumulating knowledge|Enchantment entry gives foresight; sacrifice for a final draw.|Current ability-word template is valid; support it with common enchantments.
47|Odyssey 12|Catch the fig tree; hang above the whirlpool; recover the returning wreckage.|Suspended fear / frustrated capture|Reach; returning objects restore readiness and growth.|The tree saves by remaining in place, unlike the raft it helps recover.
51|Odyssey 2|Mentor defends the absent king’s household; Athena assumes his likeness and readies the voyage.|Reassurance / coordinated action / opponents kept off balance|Revealed identity readies an ally; library exile buys a tempo opening.|Keep the human adviser distinct from the goddess acting in his likeness. Bound repeatable untaps rather than implying a free engine.
52|Odyssey 11|Drink the blood; recognise the living visitor; reveal the difficult route.|Solemn knowledge / foreboding|Graveyard movement and exile casting reveal information.|Opponent mill is indirect prophecy; ensure common enablers make this an actual UB signpost.
53|Odyssey 10 and 12|Question the leader; fear the witch; choose forbidden food under hunger.|Justified doubt becoming disaster / temptation|Sacrifice companions or resources for an urgent option.|Do not flatten every objection into stupidity; Book 10 caution saves him.
54|Odyssey 9|Seal the cave; devour guests; become the obstacle to escape.|Domination / terror|Huge body; monstrous escalation; fight a smaller creature.|A monster encounter, distinct from the common investigating neighbour.
55|Odyssey 14|Work the farm; welcome the stranger; turn provisions into loyal strength.|Generosity / durable resistance|Survival makes Food; sharing food strengthens another.|Primary hospitality signpost; provision and protection should align.
56|Odyssey 2 and 17|Consume the household’s stores; pressure its heir; refuse the stranger a share.|Entitlement / resentment / mounting depletion|Consume bodies or Food; strengthen only the leader; drain rival resources.|Antinous exploits the occupied household. He does not rescue its dead or restore its people; generic sacrifice is a game abstraction of consumption.
57|Odyssey 5; craft composite|Repair the vessel; take a place aboard; improve its next run.|Practical pride / stronger passage|Crewing increases the Vehicle's power.|Do not restore obsolete multicolour signpost metadata to this red craftsman.
58|Odyssey 11|Approach the blood; tell of home; slip through three attempted embraces.|Grief / elusive memory|Recover information from the graveyard; preserve land as a memory.|Counters imply lasting strength but the defining emotional action is inability to hold her.
59|Odyssey 12; crew composite|Muster rowers; launch immediately; recruit after a successful voyage.|Coordination / mounting pressure|Vehicle haste; Survival yields a sailor.|A nonlegendary signpost by current design; record the exception rather than inventing a name.
60|Odyssey 9–12; voyage interpretation|Choose an unknown shore; leave alternatives behind; accumulate discoveries.|Wonder / unpredictability|Manifest Fate links exile and land development.|A nonlegendary GU signpost; it should not require a rare to become functional.
61|Odyssey 9 and 13–22; synthesis|Assume an identity; take a risk; emerge as the right person for the moment.|Cunning / uncertainty|Create a hidden body before combat; reveal a surviving attacker.|The mythic unifies disguise and action; commons must demonstrate both first.
62|Odyssey 13–16|Conceal the hero; arrange recognition; protect the counterplot.|Guided confidence / unseen opposition|Strengthen manifested bodies; protect hidden identities; devotion gates embodiment.|Athena guides the disguise; she is not the returning hero.
63|Odyssey 9|Give the name Nobody; blind the host; make the cry for help meaningless.|Wit under terror / confusion|Protect anonymous creatures; let hidden attackers exploit confusion.|The cave wordplay differs from the later palace beggar's surveillance.
65|Odyssey 8 and 13|Know the destination; outrun ordinary vessels; deliver a sleeper home.|Wonder / inability to intercept|Evasive passage; premium activation for miraculous travel.|The miraculous ship is distinct from an ordinary common transport.
66|Odyssey 21|Receive the bow in guest-friendship; keep it; use it as the recognition test.|Memory and mastery / exclusion|Equip a worthy hero; make an opening in combat.|Iphitus's gift and Penelope's contest are two stages of one object's story.
69|Odyssey 14 and 16|Gather in the hut; share work; prepare the return.|Safety / hidden organisation|Tap a worker for fixing.|Keep the printed card; encampment is a setting analogy for the hut.
72|Iliad 2; Aulis setting|The fleet assembles; a portent is read; the long war is foreseen.|Apprehension / expectation|Tapped fixing; glimpse the future.|A setting treatment of Temple of Epiphany, not a literal named Homeric temple.
76|Odyssey 19|See the scar; almost cry out; keep the secret.|Recognition under restraint / threatened disguise|Reward a returning or revealed identity; readiness and life.|Existing exile-only trigger misses literal face-up revelation; compare with Basin before revising both.
78|Odyssey 19|Describe the brooch and cloak; test the stranger's memory; awaken belief.|Intimate recognition / exposure|Equipment gives protection; a known hero's action provides foresight.|This is evidence in a story, not the bed's conclusive physical proof.
79|Odyssey 8|Sing at the feast; watch the listener's tears; bring a story to its end.|Artistic command / emotional revelation|Saga progress restrains listeners; final chapters produce knowledge.|A lore counter can be added without triggering a chapter; check the current trigger's final-chapter condition.
81|Odyssey 23; interpretation|Let the reunion conclude; welcome dawn; act as a restored household.|Relief / renewed collective strength|A return enables a team combat benefit.|Dawn is delayed by Athena first; the card represents the morning after reconciliation.
82|Odyssey 4; mourning composite|Cover the head; carry visible grief; preserve remembrance.|Burden / vulnerability|Aura weakens; a death leads to memory and life.|Distinguish mourning's social sign from a literal lethal veil.
89|Odyssey 3; Trojan-war background|Receive Telemachus; recall the war; advise the next journey.|Authority / reassurance|Protect other legends; recover an old figure late.|The adviser supports heroes rather than being the main attacking threat.
90|Odyssey 6|Stand firm before the castaway; provide washing and clothing; see his altered appearance; guide him onward.|Courage / welcome / wonder|Discover an unknown traveller; reward revelation; restore and strengthen the guest.|Nausicaa welcomes the stranger before knowing his identity. The Adventure discovers; turning face up or returning supplies the later recognition event.
91|Odyssey 24|Work in worn clothes; test the stranger; recognise son and trees.|Grief becoming vigour / resistance|Survival recovers a small possession from the past.|Father's land-bound labour contrasts with the son's travel.
92|Odyssey 22|Trap the suitors; arm the loyal company; finish the unequal struggle.|Vindication with violence / panic|Set up vulnerability; equip attackers with initiative; punish exposed enemies.|A battle sequence needs the defender to have meaningful opportunities to respond.
93|Odyssey 21|Try the bow; endure the test; reveal the rightful wielder.|Mastery / humiliation|Survival grows the candidate; success rallies helpers.|The bow is not won by merely waiting three turns: crewing or attacking must express effort.
95|Odyssey 12; funeral interpretation|Recover remains; repeat the duty; complete the rite.|Responsibility / accumulating loss|Count graveyard departures; a final recovery and drain.|Ritual family, not another Hades expedition.
96|Odyssey 11; interpretation|Call back a memory; suffer its cost; learn from it.|Painful knowledge / attrition|Pay life for cards when the past returns.|A once-per-turn engine should show the price, not infinite free recollection.
97|Odyssey 8|Hephaestus anticipates betrayal; builds the net; exposes the trapped lovers in song.|Clever satisfaction / public embarrassment|Foresight; crafted resource; efficient prepared action.|Actually sung by Demodocus. UR listeners can hear technical ingenuity or gleeful reversal; current chapters never trap anything.
98|Odyssey 19|Hunt with maternal kin; face the boar; carry a permanent scar.|Bravery and pain / danger|A sudden fight; survival leaves a lasting counter.|The scar later enables recognition; this is the originating event.
99|Odyssey 13; atmosphere extension|Mist hides the coast; pursuit loses orientation; the view clears.|Concealment / confusion|Displace threats; reorder the next possibilities.|Specific sea-fog incident is an extension; distinguish Athena's actual concealing mist.
100|Odyssey 12|Hear the promise of knowledge; turn toward the song; need restraint to survive.|Allure / unwanted commitment|Force one attacker; diminish its fighting effectiveness.|Bird-body art is reception; Homer does not supply an anatomical description.
102|Odyssey 9|Bind companions beneath sheep; cling under the great ram; pass the blind hand.|Tense ingenuity / failure to detect|A larger attacker carries a small companion through blockers.|One of the strongest story-to-combat hooks; preserve it.
104|Odyssey 19|Invent a smoke excuse; remove the armour; deny the suitors access.|Conspiracy / later helplessness|Delay multiple threats; plan ahead.|Setup event precedes Bolt the Doors and the rare hall battle.
106|Odyssey 5|Build from timber; commit labour; survive the first launch.|Fragile hope / vulnerability|Tap a worker to improve a small Vehicle.|An improvised raft should feel less durable than miraculous Phaeacian craft.
114|Odyssey 10|Take Hermes's herb; resist the drug; expose Circe's failed magic.|Prepared confidence / surprise|Counter an enchantment or artifact.|Keep the straight reprint; this is prevention, unlike later undoing of transformation.
121|Odyssey 12; funeral composite|Attend the dead; finish before night; recover composure.|Duty / slow erosion|A death this turn enables end-step foresight and life.|A small funeral engine, not a physical journey below.
138|Odyssey 24; agriculture composite|Work the furrow; extend cultivation; establish new ground.|Patience / growing resources|Tapped labour permits land deployment.|Keep distinct from the common worker who recovers an old land.
144|Later Greek funerary reception; source verification pending|Provide the fare; accompany the dead; complete the passage.|Solemn duty / finality|One graveyard card is removed; later choose broad graveyard removal or knowledge.|Preserve Soul-Guide Lantern as Obol for the Dead. Charon's obol is not part of Homer's Book 11; verify a later source before quoting it.
146|Odyssey 2 and 7; household composite|Weave; respond to new demands; sustain more workers.|Persistence / growing resistance|Enchantment entry readies the workers; paid tapping makes a citizen.|Untap plus token production is a real resource engine; guard against cheap repeat loops.
147|Odyssey 1; epic formula|Night yields; work resumes; a fresh day invites action.|Renewal / renewed pressure|Ready one worker before combat; add vigilance and strength.|This repeated image is a temporal rhythm, not a new goddess episode.
148|Odyssey 22|Hide beneath a chair; receive Telemachus's defence; be spared.|Terror becoming relief / mercy|Recover a small lost resource; survive while others die.|A morally selective survivor, not a generic death profiteer.
149|Iliad 10; visual interpretation|Receive divine backing; strike on the night raid; survive.|Confidence / danger|Targeted aid gives growth and damage protection.|Keep Oracle function; hoplite terminology is a visual-era borrowing rather than Homeric precision.
150|Odyssey 7|Take the suppliant's hand; raise them; restore a place among the living.|Acceptance / returning opposition|Recover a small creature; gain life.|Return to hand expresses aid without literal resurrection.
151|Odyssey 15 and 20|Join the voyage; interpret signs; announce the suitors' doom.|Certainty / denial|Foresight on entry; exile casting freezes a threat.|The seer interprets; he does not cause the future slaughter.
152|Odyssey 8; Phaeacian extension|Build the knowing ship; ready it; send it across impossible water.|Craft wonder / inability to contain|Untapping readies an artifact; ships gain evasion.|Untap chains can loop with other workers; test actual costs and targets.
153|Odyssey 8|Ask for the horse story; sing the hidden entry; expose the listener's grief.|Admiration and pain / recognition|Recall a stratagem; recover a spell; execute it cheaply.|Actually performed by Demodocus. This gold Saga is not currently a member of the five hybrid Sagas.
154|Odyssey 12|Hear Circe's warning; prepare in advance; stop an approaching threat.|Foreknowledge / frustrated plan|Foretell an answer; counter a spell later.|Keep the reprint; Circe's warning about unavoidable Scylla is not literally a counterspell success.
155|Odyssey 12|Bind Odysseus; secure the mast; free the crew to row.|Trust under temptation / denied control|Tap and protect the legendary listener; ready helpers.|Do not untap the bound listener as part of the same safety plan.
156|Odyssey 1–2; household interpretation|Open stores; consume another's wealth; make scarcity hurt.|Predation / dwindling resources|Artifact sacrifice drains opponents.|Differentiate from the caretaker's self-preservation and the cook's temporary power.
157|Odyssey 17 and 22|Insult the beggar; arm the usurpers; exploit his own house.|Opportunism / betrayal|Sacrifice a household resource for a fleeting advantage.|Keep this betrayal distinct from Eurylochus's hunger-driven disobedience.
158|Odyssey 20; dream extension|Imagine a feared arrival; cross a threshold; disturb the dead.|Anxiety / intrusion|Menace; graveyard exile and life.|Invented nightmare embodiment, suitable for enchantment-creature treatment if needed.
159|Odyssey 10|Receive the traveller; bind the winds; release a favourable passage.|Generosity / volatile advantage|Prepare a wind as an Adventure; accelerate a Vehicle.|The gift should be powerful but vulnerable to misuse by the recipient.
160|Odyssey 5; landscape extension|The storm strikes; visibility breaks; a route opens amid damage.|Force / disruption|Entry damage; continuing blocker denial.|A storm enchantment should not permanently suppress every defence without opportunity to remove it.
161|Homeric simile; extension|Fire catches dry scrub; spreads; threatens those beyond the first victim.|Momentum / alarm|Large removal; death spreads smaller damage to players.|An explicitly invented simile card, not a literal Odyssey wildfire episode.
162|Odyssey 10 and 12; imagined song|Sing of squandered gifts and forbidden food; mourn the lost crew.|Regret / warning|Spend a resource; create immediate provisions; recover a remnant.|Imagined performance. BG can hear survival necessity or the cost of appetite; not a recorded Demodocus song.
163|Madeline Miller, The Song of Achilles; adaptation brief|Grow together; fight as companions; let love and glory collide.|Devotion / impending loss|Paired bodies; shared attack; a final concentrated heroic feat.|An adaptation title, not a song performed inside Homer's Odyssey. Current double strike is legal in either hybrid colour.
164|Odyssey 5; craft extension|Assemble materials; try a form; discard the failed version.|Experimentation / accumulating options|Artifact entry permits looting.|Make the crafted object the trigger; avoid a generic spell engine.
165|Mediterranean setting; extension|Heat builds; people labour; every effort exacts a cost.|Endurance / pressure|Tapping produces a small burn once each turn.|Setting texture; no claim to a discrete episode.
166|Odyssey 9|Enter the cave; endure confinement; escape beneath the flock.|Fear becoming resourcefulness / thwarted predation|Survival growth; escape yields land and provisions.|Keep the ordeal about staying alive rather than killing the Cyclops.
167|Odyssey 6; simile|A hungry lion approaches; vulnerable onlookers scatter.|Desperate dignity / fear|Large trampling body.|A simile for the castaway's emergence, not a new lion encounter on Scheria.
168|Odyssey 13–24; concept|Return from absence; recover people and possessions; make a home again.|Belonging / lasting opposition|Recovery gives growth; late permanent recursion.|Nostos is a concept embodied as an enchantment, not a named character.
169|Odyssey 24; agriculture extension|Tend trees; gather the crop; strengthen workers over seasons.|Abundance / incremental strength|Food on arrival; new land grows small creatures.|Distinct from one-shot Gather Figs and the land-producing grove.
170|Odyssey 4; setting interpretation|Watch seals gather; wait on the shore; find a stable rhythm.|Stillness / patience|Landfall life; resilient ordinary creature.|Menelaus's Proteus episode supplies context; do not misattribute his adventure to Odysseus.
171|Odyssey 24|Recall the trees given in childhood; identify their kinds; prove kinship.|Tender certainty / deception defeated|Recover land and person together.|One of the best return-and-memory links; preserve it.
172|Odyssey 20; simile extension|Protect the vulnerable; confront the threat; remain ready afterward.|Fierceness / checked aggression|Large boost and trample; defence can restore readiness.|Label the exact mother-lion image as an adaptation of Homeric animal comparison unless its passage is verified.
173|Odyssey 10|Hear Circe sing; urge the companions to call; lead them inside.|Open trust / foreboding|Initiate an encounter; aid companions who follow.|Current compulsory-risk fighter is poorly matched to the trusted door-opener. Do not import EPIC's version without attribution.
174|Odyssey 2 and 19|Promise to finish the shroud; weave by day; undo the progress at night.|Patient defiance / frustrated expectation|Remove Saga lore counters; trade new enchantments for delay.|Rare commander candidate in the existing slot; distinguish deliberate unweaving from the mythic's fate-making.
175|Odyssey 10|Offer a drink; obscure human identity; decide whether to restore it.|Power / helplessness|Enchanted and face-down creatures matter; loss yields knowledge.|The uncommon supports the transformation ecology; the mythic performs the transformation itself.
176|Odyssey 5|Shelter the traveller; prolong the stay; make departure harder.|Comfort becoming captivity / temptation|Hidden options grow; a sheltered creature becomes substantial.|Common Manifest Fate density must make this a workable GU signpost.
177|Odyssey 15–22|Return from travel; reunite with the father; take a place in the fight.|Earned confidence / coordinated resistance|Survival helps an ally; a voyage improves readiness.|Returned leader supports others instead of growing from Heroic help.
178|Odyssey 8|Insult the stranger; witness the discus throw; offer an apology and gift.|Pride checked / vindication|Commit to competition; gain temporary force; work creates mana.|Pure aggression omits the apology; consider gift or restitution in later refinement.
179|Odyssey 24; funeral composite|Tend old graves; uncover remnants; keep the family memory active.|Care / persistent pressure|Self-mill fuels graveyard departure rewards.|Nonlegendary BG signpost is an intentional current exception pending owner decision.
180|Odyssey 9; voyage interpretation|Crew the vessel; raid a coast; establish access to land.|Adventure / incursion|Attack reveals a possible land.|Preserve printed Raiders' Karve function; Viking naming is a treatment issue, not evidence of a Greek ship type.
181|Odyssey 5|Put on divine sandals; cross sea and land; deliver the message.|Speed / unavoidable arrival|Equipment grants flight and haste.|Straight reprint as visual analogy for Hermes; not footwear loaned to Odysseus in this scene.
182|Odyssey 9; later interpretation|Construct a name; exploit anonymity; learn while unseen.|Self-invention / uncertainty|Protect face-down bodies; reward hidden attackers.|A conceptual reception version, distinct from the historical cave scene.
183|Odyssey 19; visual interpretation|Raise the golden lamp; illuminate the armour removal; guide secret work.|Wonder / unseen preparation|Draw on arrival; filter mana.|Prism is a printed-card analogy for illumination, not the actual name of Athena's object.
184|Odyssey 2 and 19|Begin Laertes's funeral cloth; delay its finish; buy time.|Defiance / impatience|Nonattack turns build resources; unmaking converts work into knowledge.|The shroud is the promised object, Loom the tool, and rare Penelope the active deceiver.
185|Odyssey 2|Recruit quietly; borrow the ship; leave at night.|Initiative / secrecy|Ship arrives with crew; attack mobilises a helper.|Avoid immediate untapping that undermines a Survival crew unless chosen as an intentional tradeoff.
186|Odyssey 5; seamanship extension|Keep speed over the waves; evade small obstacles; learn the route.|Daring / frustration|Small blockers cannot stop it; successful travel filters cards.|An ordinary fast galley, distinct from the supernatural Phaeacian ship.
187|Odyssey 6–7|Reach an unknown shore; seek welcome; find a usable refuge.|Uncertainty becoming safety / stabilisation|Choose needed fixing on arrival.|Keep the straight reprint and Scheria treatment.
188|Apollodorus Epitome 3.6–7; prewar setting|Remember an old obligation; leave the young household; carry home in memory.|Duty and reluctance / separation|Adventure recovers a small permanent; land remains afterward.|Town is an approved design exception; do not restore an obsolete generic Adventure land.
189|Odyssey 6–13|Enter the harbour as a stranger; tell the voyage; depart with passage.|Welcome / renewed options|Selection on Adventure; enduring blue mana source.|Scheria's generous transit role differs from Ithaca's rooted return.
190|Odyssey 12|Pass below the cliff; lose companions; continue despite the cost.|Dread / unavoidable loss|An edict as the Adventure; ominous land afterward.|The card abstracts one cost, while the rare event can depict six victims.
191|Odyssey 10|Enter Circe's hall; encounter offered choices; remain on an enchanted island.|Temptation / uncertainty|Temporary access to cards; enchantment land supports the set.|Preserve the approved Enchantment Land identity; artwork and spell should reflect Circe, not generic red impulse.
192|Odyssey 9|Endure the cave; hide beneath rams; leave with provisions.|Ingenuity / defeated detection|Strength plus Food on Adventure; cave land afterward.|Preserve the approved Cave subtype and imperfect cycle.
193|Odyssey 23; setting interpretation|Keep private knowledge; test the apparent return; permit recognition.|Reserve / uncertainty|Scry fixing.|Temple of Silence is a visual treatment, not a literal temple where the bed test occurs.
194|Odyssey 11; setting interpretation|Approach the dead; pay the rite; listen to an old voice.|Reverence / melancholy|Scry fixing.|A graveyard-colour treatment; verify the card's exact assigned scene before a new quote is selected.
195|Odyssey 22; setting interpretation|Coordinate the loyal few; win the hall; face the aftermath.|Vindication / defeat|Scry fixing.|Triumph has a cost; avoid treating the slaughter as uncomplicated celebration.
196|Odyssey 13|Enter the nymphs' cave; hide the gifts; secure a future return.|Secrecy / uncertainty|Scry fixing.|The cave of the Naiads is an attested setting; Temple is the reprint's title.
197|Odyssey 13–24; concept|Escape alien possession; recover rightful belonging; return home.|Release / loss of control|Restore ownership of creatures.|Keep Oracle function; a metaphor for homecoming rather than a literal road enchantment.
198|Odyssey 5, 9 and 13|Hear the son's curse; pursue the traveller; punish his passage.|Wrath / frustration|Freeze progress; strike exposed crews; devotion governs embodiment.|Poseidon's obstruction should feel different from Helios's punishment for violated cattle.
199|Odyssey 2 and 19; mythic interpretation|Wait actively; weave possibilities; produce a different future.|Agency under pressure / uncertainty|Nonattack preparation; blink and manifest as a payoff.|Mythic fate-making is an interpretive extension; the rare handles literal unweaving.
200|Odyssey 10|Prepare the draught; offer it; turn people into unrecognised creatures.|Command / loss of identity|Prepare a spell; turn a creature face down; subsequent attacks renew readiness.|Turning face down must respect card types and face-up permissions; test the custom Prepare implementation.
201|Odyssey 5; mythic interpretation|Conceal the traveller; sustain him outside ordinary life; magnify a sheltered future.|Seductive safety / captivity|Enhance hidden bodies; exiled possibilities create growth.|Distinct from the uncommon's accessible engine and the island's slow time investment.
202|Odyssey 7–13|Raise the stranger; feast him; order passage home.|Authority used generously / renewed opposition|Uncast arrivals receive Food; voyages ready allies.|Manifested creatures are uncast arrivals; the support can work once commons provide them.
203|Odyssey 7|Recognise the clothing; question the visitor; decide whether to help.|Discernment / scrutiny|Protect known people; control tempo when legends arrive.|Queen's judgment differs from the king's material provision.
204|Madeline Miller, The Song of Achilles; adaptation brief|Follow the beloved; share the heroic struggle; leave a transformative loss.|Devotion / grief|Aid a legendary companion; death leaves lasting strength.|Exact novel passage still needed before a direct quote or specific scene claim.
205|Odyssey 4 and 8; reception synthesis|Tell competing stories of Troy; expose hidden loyalties; shape how the past is remembered.|Ambiguity / fascination|Sagas and exile create further possibilities.|Do not treat one account of Helen's intent as universally settled.
206|Odyssey 9–12; original metaphor|Cross again; accumulate routes; draw on remembered passage.|Experience / inevitability|Vehicle attacks and exile casting build a knowledge reserve.|Original poetic metaphor, not a sourced quotation.
207|Odyssey 23|Test; recognise; reclaim the shared household.|Relief / restored solidarity|Recover a meaningful object; known arrivals provide foresight.|The reunion is the couple's joint version, distinct from either solo engine.
208|Odyssey 12|Draw the sea inward; swallow debris; disgorge it again.|Power / helpless recurrence|Force the return of exposed permanents; make passage dangerous.|A whirlpool's repeated pull should be distinguishable from Scylla's sudden losses.
209|Odyssey 12|Wait above the channel; strike with six heads; take sailors at once.|Predation / horror|Large menace threat; a six-target monstrous attack.|Avoid a cost so high that the signature sixfold action never occurs in normal play.
210|Odyssey 12|Keep the cattle sacred; observe the violation; demand retribution.|Temptation / punishment|Create forbidden resources; punish consuming them.|The game offers the controller the same temptation as the crew; note Zeus executes the ship's destruction.
211|Odyssey 5 and 10|Carry the order; provide protection; make departure possible.|Relief / escaped control|Help returnees act immediately; ready a traveller or ship.|Messenger and guide, distinct from Athena's long counterplot.
212|Odyssey 11|Reach Ocean's edge; summon shades; hear the dead; leave in fear.|Awe / dread|Graveyard setup; recover counsel; limited temporary return.|Homeric shades do not rejoin life as an army. Resurrection chapters are an overt fantasy adaptation.
213|Odyssey 23|Build around an olive trunk; test the bed’s movement; recognise the spouse through shared knowledge.|Intimacy / rooted certainty|Bind protection to the household ground; reward two legendary creatures reunited there.|Candidate replaces blink with a chosen-land bond and conditional reunion draw. It abstracts the couple rather than naming them; moving the land breaks the link.
215|Odyssey 21|Bring the bow; let pretenders fail; put it in the rightful hands.|Anticipation / exclusion|Find Equipment; attach it to a hero; open the attack.|Keep the sequence visible and give opponents time to answer the equipment plan.
216|Odyssey 13–22; imagined song|Sing the hidden return; shield the stranger; reveal the king.|Suspense / reversal|Delay a foe; protect a listener; reveal an ally.|Imagined performance. Current white-blue gold card sits outside the actual hybrid five.
217|Odyssey 9 and 13; concept|Read a situation; conceal intent; act at the opening.|Cunning / uncertainty|Exile play and face-up revelation yield foresight.|Metis is an intellectual quality here; do not imply the card depicts the separate goddess Metis.
218|Odyssey 1 and 11; concept|Hear an allotted ending; act within constraints; pay the final cost.|Dread / inevitability|Graveyard departures drain life; recover a creature at a price.|An abstract principle rather than a named shade.
219|Odyssey 22|Blame the dead leader; offer repayment; attack when persuasion fails.|Calculation / distrust|Opponent chooses concession or exposure to attack.|The tempting offer should be credible enough to create a decision.
221|Odyssey 12|Find sacred cattle; eat despite warning; face destruction.|Hunger then regret / retribution|Create tempting Food; consume for immediate cards; pay a later price.|Current final chapter names Helios as a damage source without a defined object; fix the source to this Saga.
222|Odyssey 9|Taste the lotus; forget departure; be dragged back toward the voyage.|Comfort / lost agency|Food; temporary inability to attack; resumed possibilities.|Not a simple prison spell: the initial attraction matters.
223|Odyssey 17–22|Enter as a beggar; inspect the house; isolate the threat.|Composure / watched unease|Protection plus temporary hand disruption.|This palace spy differs from the cave's Nobody wordplay.
224|Odyssey 14, 20–22|Keep the herds; recognise the king; act together.|Loyal solidarity / strengthened resistance|Survival provisions; Food readies and grows an ally.|Paired household labour should not simply duplicate Eumaeus at a larger rate.
